City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kahului,US,2022-03-01 19:06:58,20.8947,-156.47,79.86,78,20,5.01
1,Culebra,PR,2022-03-01 19:06:58,18.303,-65.301,87.67,76,1,13.02
2,Arraial Do Cabo,BR,2022-03-01 19:06:59,-22.9661,-42.0278,87.66,55,0,18.41
3,Busselton,AU,2022-03-01 19:06:59,-33.65,115.3333,59.04,86,81,11.68
4,Rikitea,PF,2022-03-01 19:06:59,-23.1203,-134.9692,78.66,72,94,7.02
5,Veisiejai,LT,2022-03-01 19:07:00,54.1,23.7,29.62,64,0,4.43
6,Nabire,ID,2022-03-01 19:07:00,-3.3667,135.4833,76.17,91,100,2.33
7,Sao Filipe,CV,2022-03-01 19:07:01,14.8961,-24.4956,71.22,63,2,20.13
8,Mar Del Plata,AR,2022-03-01 19:02:03,-38.0023,-57.5575,78.87,47,11,15.99
9,Pevek,RU,2022-03-01 19:07:09,69.7008,170.3133,-13.65,100,95,4.05
10,Punta Arenas,CL,2022-03-01 19:06:58,-53.15,-70.9167,48.31,81,75,31.07
11,Kapaa,US,2022-03-01 19:07:10,22.0752,-159.319,75.18,79,20,10.36
12,Port Alfred,ZA,2022-03-01 19:07:10,-33.5906,26.891,75.47,90,70,19.06
13,Arona,ES,2022-03-01 19:07:11,28.0996,-16.681,61.99,63,20,21.85
14,Hilo,US,2022-03-01 19:04:15,19.7297,-155.09,78.53,60,0,5.01
15,Klaksvik,FO,2022-03-01 19:07:12,62.2266,-6.589,43.72,80,40,25.93
16,Paita,PE,2022-03-01 19:07:12,-5.0892,-81.1144,88.36,63,90,14.05
17,Ulaanbaatar,MN,2022-03-01 19:05:52,47.9077,106.8832,-3.87,71,0,2.24
18,Cooma,AU,2022-03-01 19:07:13,-36.2333,149.1333,58.77,100,100,5.75
19,Kamenka,RU,2022-03-01 19:07:14,51.3223,42.7678,32.76,96,100,8.14
20,Port Elizabeth,ZA,2022-03-01 19:07:14,-33.918,25.5701,70.11,94,75,17.27
21,Jipapad,PH,2022-03-01 19:07:14,12.2861,125.2353,75.22,96,81,4.34
22,Meulaboh,ID,2022-03-01 19:07:15,4.1363,96.1285,75.29,91,96,3.96
23,Gladstone,AU,2022-03-01 19:05:10,-23.85,151.25,80.53,83,100,6.91
24,Vanimo,PG,2022-03-01 19:07:16,-2.6741,141.3028,76.23,87,100,3.06
25,Namatanai,PG,2022-03-01 19:07:16,-3.6667,152.4333,78.49,84,100,4.52
26,Husavik,IS,2022-03-01 19:07:17,66.0449,-17.3389,26.33,81,72,10.11
27,Chuy,UY,2022-03-01 19:07:17,-33.6971,-53.4616,74.95,39,0,4.47
28,Kaitangata,NZ,2022-03-01 19:07:18,-46.2817,169.8464,51.93,77,15,3.09
29,Saint-Marc-Des-Carrieres,CA,2022-03-01 19:07:18,46.6834,-72.0491,19.15,92,100,7.67
30,Ust-Nera,RU,2022-03-01 19:07:19,64.5667,143.2,-22.0,100,100,2.82
31,Albany,US,2022-03-01 19:05:32,42.6001,-73.9662,38.62,56,100,3.0
