City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Guaratinga,BR,74.07,light rain,-16.5667,-39.5667,Hotel Caraíva
2,Rikitea,PF,80.28,light rain,-23.1203,-134.9692,People ThankYou
6,Homestead,US,72.0,broken clouds,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
7,Hobart,AU,82.22,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
10,Airai,TL,73.26,moderate rain,-8.9266,125.4092,
12,Busselton,AU,77.04,scattered clouds,-33.65,115.3333,Observatory Guest House
14,Faanui,PF,81.66,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Innisfail,AU,88.63,scattered clouds,-17.5333,146.0333,Moondarra Motel
24,Bengkulu,ID,85.8,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
28,Hithadhoo,MV,83.03,scattered clouds,-0.6,73.0833,Scoop Guest House
30,Kimbe,PG,82.76,light rain,-5.5502,150.1429,Kimbe Bay Hotel
35,Ormara,PK,74.89,clear sky,25.2088,64.6357,Kenara Colony house for Rent
36,Mitsamiouli,KM,86.29,few clouds,-11.3847,43.2844,Foyer ADM
40,Manzanillo,CU,73.04,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
41,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
42,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
44,Lahat,ID,87.26,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
45,Dhidhdhoo,MV,82.89,scattered clouds,6.8833,73.1,Dhidhoo beach
46,Hobyo,SO,81.57,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
48,Dong Hoi,VN,74.8,overcast clouds,17.4833,106.6,Nam Long Hotel
52,Cidreira,BR,72.48,clear sky,-30.1811,-50.2056,Hotel Castelo
57,Mozarlandia,BR,70.11,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
62,Ewo,CG,73.78,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
64,Merauke,ID,84.74,light rain,-8.4667,140.3333,
70,Bredasdorp,ZA,70.92,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
71,Lagos,NG,77.32,broken clouds,6.5833,3.75,
72,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
73,Hispania,CO,72.73,overcast clouds,5.7993,-75.9072,Eco Hotel Rancho Verde
75,Lazaro Cardenas,MX,72.5,clear sky,17.9583,-102.2,quinta antigua
76,Ambilobe,MG,77.7,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
79,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
81,Yarada,IN,86.32,haze,17.65,83.2667,Yarada Jungle Beach Resorts
83,Arraial Do Cabo,BR,75.79,clear sky,-22.9661,-42.0278,Pousada Porto Praia
86,Victoria,HK,79.18,broken clouds,22.2855,114.1577,Mini Hotel Central
87,Road Town,VG,77.09,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
94,Hambantota,LK,89.35,light rain,6.1241,81.1185,Bungalow 63
95,Itarema,BR,77.86,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
96,Borba,BR,72.82,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
98,Atuona,PF,78.69,light rain,-9.8,-139.0333,Villa Enata
100,Sidney,AU,74.53,light rain,-33.8679,151.2073,The Grace Sydney
106,East London,ZA,70.74,few clouds,-33.0153,27.9116,Tu Casa
113,Sao Joao Da Barra,BR,75.22,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
115,Madang,PG,84.52,light rain,-5.2246,145.7966,Comfort Inn Hotel
118,Kruisfontein,ZA,70.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
119,Namatanai,PG,84.52,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
122,Kavieng,PG,84.27,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
124,Kafanchan,NG,71.13,broken clouds,9.5833,8.3,Sir Joe guest Inn
128,Betioky,MG,79.38,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
130,Saint-Philippe,RE,85.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
132,Soyo,AO,79.97,light rain,-6.1349,12.3689,Hotel Mpampa
133,The Valley,AI,76.86,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
134,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
135,Port Elizabeth,ZA,73.69,clear sky,-33.918,25.5701,39 On Nile Guest House
136,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
137,Poum,NC,82.18,overcast clouds,-20.2333,164.0167,
140,Werda,BW,74.62,scattered clouds,-25.2667,23.2833,
143,New Norfolk,AU,81.88,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
148,Port Macquarie,AU,71.56,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
154,Ngama,TD,75.45,broken clouds,11.7833,17.1667,
157,Along,IN,81.3,clear sky,28.1667,94.7667,Hotel West
160,Port Lincoln,AU,78.91,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
161,Santiago Del Estero,AR,79.21,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
162,Hilo,US,74.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
166,Sao Filipe,CV,71.94,clear sky,14.8961,-24.4956,Hotel Xaguate
168,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
170,Benjamin Aceval,PY,75.6,overcast clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
171,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
175,Caravelas,BR,75.13,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
176,Tual,ID,84.2,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
181,Yangambi,CD,74.03,overcast clouds,0.8102,24.4336,
183,Flinders,AU,75.11,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
184,Sabang,ID,82.74,overcast clouds,5.8933,95.3214,Hotel Citra
187,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
190,Port Alfred,ZA,73.85,clear sky,-33.5906,26.891,The Halyards Hotel
191,Noumea,NC,87.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
192,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
195,Byron Bay,AU,82.51,scattered clouds,-28.65,153.6167,Backpackers Inn
200,Mafinga,TZ,72.84,light rain,-7.25,35.0667,
202,Kankon,IN,89.85,few clouds,15.0167,74.0167,Palolem Beach Resort
206,Grand Gaube,MU,82.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
207,Impfondo,CG,79.97,broken clouds,1.6381,18.0667,Auberge La Place de Jules
208,Port Pirie,AU,91.49,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
209,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
215,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
216,Koungou,YT,83.91,moderate rain,-12.7336,45.2042,Villa Netibor
217,San Juan,AR,76.98,clear sky,-31.5375,-68.5364,Hotel Provincial
218,Rawson,AR,70.86,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
219,Najran,SA,72.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
220,Barra Patuca,HN,75.78,broken clouds,15.8,-84.2833,
221,Capitao Poco,BR,71.38,overcast clouds,-1.7464,-47.0594,Hotel New Tokyo
222,Ulladulla,AU,73.76,light rain,-35.35,150.4667,Sandpiper Motel
224,Nosy Varika,MG,83.28,few clouds,-20.5833,48.5333,Hotel Volazara
225,Itoman,JP,70.18,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
229,Bulungu,CD,74.25,overcast clouds,-4.55,18.6,
232,Ondo,NG,76.53,broken clouds,7.1,4.8333,Leisure Spring Hotel
235,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
236,Namibe,AO,77.76,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
237,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
239,Panalingaan,PH,85.73,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
241,Coari,BR,72.46,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
242,Georgetown,MY,89.53,scattered clouds,5.4112,100.3354,Cititel Penang
243,Lahij,YE,81.45,broken clouds,13.1667,44.5833,
244,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
245,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
249,Saint-Pierre,RE,85.64,broken clouds,-21.3393,55.4781,Lindsey Hôtel
254,Nyimba,ZM,75.79,overcast clouds,-14.5566,30.8149,Dali Dali Lodge
255,Kirakira,SB,82.65,broken clouds,-10.4544,161.9205,SanBiz Lodge
256,Ruteng,ID,76.3,scattered clouds,-8.6136,120.4721,Hotel FX 72
258,Mount Gambier,AU,84.11,broken clouds,-37.8333,140.7667,The Commodore
261,Dzaoudzi,YT,84.09,light rain,-12.7887,45.2699,Le Rocher
264,Kroya,ID,86.2,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
266,Butaritari,KI,80.96,moderate rain,3.0707,172.7902,Isles Sunset Lodge
270,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
273,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
