City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,2022-03-03 06:28:03,42.097,-79.2353,33.08,69,100,18.41,overcast clouds
1,Guaratinga,BR,2022-03-03 06:28:04,-16.5667,-39.5667,74.07,98,98,1.86,light rain
2,Rikitea,PF,2022-03-03 06:26:48,-23.1203,-134.9692,80.28,70,8,19.66,light rain
3,Hovd,MN,2022-03-03 06:28:05,48.0056,91.6419,18.7,64,0,6.44,clear sky
4,San Vicente,AR,2022-03-03 06:28:05,-26.6167,-54.1333,64.45,99,100,1.32,moderate rain
5,Kermanshah,IR,2022-03-03 06:28:06,34.3142,47.065,59.9,17,75,13.8,broken clouds
6,Homestead,US,2022-03-03 06:27:16,25.4687,-80.4776,72.0,73,55,6.51,broken clouds
7,Hobart,AU,2022-03-03 06:28:07,-42.8794,147.3294,82.22,56,20,16.11,few clouds
8,Chokurdakh,RU,2022-03-03 06:28:08,70.6333,147.9167,-10.68,97,93,3.49,overcast clouds
9,Nantucket,US,2022-03-03 06:28:08,41.2835,-70.0995,41.11,86,100,9.22,overcast clouds
10,Airai,TL,2022-03-03 06:28:09,-8.9266,125.4092,73.26,63,57,3.51,moderate rain
11,Virginia Beach,US,2022-03-03 06:26:01,36.8529,-75.978,52.0,76,0,9.22,clear sky
12,Busselton,AU,2022-03-03 06:28:10,-33.65,115.3333,77.04,37,35,7.43,scattered clouds
13,Portland,US,2022-03-03 06:26:32,45.5234,-122.6762,50.45,96,100,3.44,moderate rain
14,Faanui,PF,2022-03-03 06:28:11,-16.4833,-151.75,81.66,75,33,16.53,light rain
15,Lavrentiya,RU,2022-03-03 06:28:12,65.5833,-171.0,6.06,92,20,9.04,few clouds
16,Ponta Do Sol,PT,2022-03-03 06:28:12,32.6667,-17.1,64.06,75,55,5.3,broken clouds
17,Te Anau,NZ,2022-03-03 06:28:14,-45.4167,167.7167,69.91,59,100,2.66,overcast clouds
18,Ushuaia,AR,2022-03-03 06:24:03,-54.8,-68.3,47.86,81,75,4.61,light intensity drizzle
19,Qaanaaq,GL,2022-03-03 06:28:14,77.484,-69.3632,6.28,54,0,9.06,clear sky
20,Norman Wells,CA,2022-03-03 06:28:15,65.282,-126.8329,5.04,66,20,6.91,few clouds
21,Bethel,US,2022-03-03 06:28:15,41.3712,-73.414,45.01,77,91,8.93,overcast clouds
22,Nizhniy Tsasuchey,RU,2022-03-03 06:28:16,50.5167,115.1333,23.99,73,100,10.65,overcast clouds
23,Innisfail,AU,2022-03-03 06:28:16,-17.5333,146.0333,88.63,67,33,9.4,scattered clouds
24,Bengkulu,ID,2022-03-03 06:27:34,-3.8004,102.2655,85.8,65,29,12.97,light rain
25,Roebourne,AU,2022-03-03 06:28:17,-20.7833,117.1333,97.3,39,43,15.61,scattered clouds
26,Cape Town,ZA,2022-03-03 06:24:49,-33.9258,18.4232,67.26,86,40,6.91,scattered clouds
27,Altay,CN,2022-03-03 06:28:18,47.8667,88.1167,22.68,83,71,2.91,broken clouds
28,Hithadhoo,MV,2022-03-03 06:28:18,-0.6,73.0833,83.03,69,27,13.06,scattered clouds
29,Katsuura,JP,2022-03-03 06:28:19,35.1333,140.3,55.51,65,43,6.11,scattered clouds
30,Kimbe,PG,2022-03-03 06:28:20,-5.5502,150.1429,82.76,77,100,3.06,light rain
31,Lons-Le-Saunier,FR,2022-03-03 06:28:20,46.75,5.75,43.23,86,80,1.74,broken clouds
32,Havre-Saint-Pierre,CA,2022-03-03 06:28:21,50.2334,-63.5986,15.8,77,0,9.22,clear sky
33,Rio Gallegos,AR,2022-03-03 06:28:21,-51.6226,-69.2181,53.65,87,100,6.91,overcast clouds
34,Albany,US,2022-03-03 06:28:22,42.6001,-73.9662,31.08,82,99,3.76,light snow
35,Ormara,PK,2022-03-03 06:28:23,25.2088,64.6357,74.89,61,0,4.09,clear sky
36,Mitsamiouli,KM,2022-03-03 06:28:24,-11.3847,43.2844,86.29,70,20,10.36,few clouds
37,Saskylakh,RU,2022-03-03 06:28:25,71.9167,114.0833,-23.24,97,51,2.35,broken clouds
38,Clyde River,CA,2022-03-03 06:28:25,70.4692,-68.5914,7.03,85,100,35.68,snow
39,Pangnirtung,CA,2022-03-03 06:28:26,66.1451,-65.7125,6.6,86,100,1.16,overcast clouds
40,Manzanillo,CU,2022-03-03 06:28:27,20.3433,-77.1167,73.04,81,58,7.49,broken clouds
41,Carnarvon,AU,2022-03-03 06:28:27,-24.8667,113.6333,80.67,41,0,27.63,clear sky
42,Vaini,TO,2022-03-03 06:28:28,-21.2,-175.2,77.16,94,100,9.22,light rain
43,Longyearbyen,SJ,2022-03-03 06:28:28,78.2186,15.6401,10.24,85,100,13.8,light snow
44,Lahat,ID,2022-03-03 06:28:29,-3.8,103.5333,87.26,64,63,5.91,broken clouds
45,Dhidhdhoo,MV,2022-03-03 06:28:29,6.8833,73.1,82.89,57,48,6.55,scattered clouds
46,Hobyo,SO,2022-03-03 06:28:30,5.3505,48.5268,81.57,59,76,19.15,broken clouds
47,Mehamn,NO,2022-03-03 06:28:30,71.0357,27.8492,31.91,79,100,31.09,light snow
48,Dong Hoi,VN,2022-03-03 06:28:31,17.4833,106.6,74.8,81,90,7.43,overcast clouds
49,Karasburg,NA,2022-03-03 06:28:32,-28.0167,18.75,65.48,61,52,3.31,broken clouds
50,Balkhash,KZ,2022-03-03 06:28:33,46.844,74.9804,23.61,93,100,8.95,overcast clouds
51,Tunceli,TR,2022-03-03 06:28:33,39.1083,39.5471,50.86,96,100,9.69,overcast clouds
52,Cidreira,BR,2022-03-03 06:28:34,-30.1811,-50.2056,72.48,94,9,2.57,clear sky
